Date,Review
4 de dezembro de 2023,"Atendimento maravilhoso! Matheus foi muito atencioso e colocou nossa playlist.
Todos os atendentes super simpaticos"
2 de dezembro de 2023,Gostei muito dos pratos e do atendimento. Muitos solicitos. A comida estava saborosa. Com certeza volto mais vezes!
1 de dezembro de 2023,"Eu amei, é a melhor cozinha mexicana que eu já comi. E o espaço é muito animado, imersivo! A decoração da casa é linda e o atendimento excelente sempre."
29 de novembro de 2023,"Ótimo ambiente e decoração, funcionários prestativos, comida boa. 
Música agradável. 
Divertidos mariachis."
27 de novembro de 2023,"Amomamos o atendimento do Matheus e do, tudo ótimo amamos o atendimento, sensacional! A comida muito saborosa"
20 de novembro de 2023,Muito divertido e ótima comida. Deu para matar um pouco da saudade do México. Fomos muito bem atendidos pela Kaylane e o Victor. Certamente voltaremos.
20 de novembro de 2023,"Comida ótima, boa música, staff competente (principalmente Kaylene e Victor, muito simpáticos). Recomendo o burrito."
20 de novembro de 2023,"Amei o atendimento da Kaylane e Victor! Os melhoress, comemos muito bem e foram muitos simpáticos. Obrigada pela ajuda"
20 de novembro de 2023,"Comida ótima, bons drinks e um atendimento excepcional. Kaylane e Matheus nos atenderam com muito carinho e dedicação, super recomendado!!!"
20 de novembro de 2023,"Excelente comida, ambiente e atendimento ! Parabéns Kaylane e Matheus!  Cozinha também está de parabéns!"
19 de novembro de 2023,"Quem me atendeu foi o garçom Mateus, que foi muito atencioso e educado! Nos ajudou nos indicando pratos e bebidas"
19 de novembro de 2023,"Lugar e pessoas muito gentis e educadas. Fomos atendidos por um garçom incrível, Mateus. Vamos voltar sem dúvidas!"
16 de novembro de 2023,"Ambiente agradável, atendimento nota 10, cozinha maravilhosa, chopp gelado, drinks maravilhosos, música ótima, tudo com tempero mexicano"
12 de novembro de 2023,"Comida boa, rodízio completo porém muiiiiiita demora entre um prato e outro, o atendimento é bom, pessoal simpático."
11 de novembro de 2023,"Excelente atendimento, amei a experiência! 
Rodízio com bastante variedade e comida deliciosa, só tenho a agradecer"
6 de novembro de 2023,Pegamos o rodízio. A comida estava muito gostosa e os atendentes são muito atenciosos com os clientes. Voltarei com certeza!
