Date,Review,Review_Topic,Review_Entity,Topics,Names,Representation,Representative_Docs,Positive,Neutral,Negative,Highest Score,Sentiment,Token Predictions Corrected
20 de novembro de 2023,"Amei o atendimento da Kaylane e Victor! Os melhoress, comemos muito bem e foram muitos simpáticos. Obrigada pela ajuda",atendimento,"Amei o atendimento da Kaylane e Victor! Os melhoress, comemos muito bem e foram muitos simpaticos. Obrigada pela ajuda",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9580621123313904,0.01777394488453865,0.02416401542723179,0.9580621123313904,Positive,"[('Kaylane', 'I-PER'), ('Victor', 'I-PER')]"
19 de novembro de 2023,"Lugar e pessoas muito gentis e educadas. Fomos atendidos por um garçom incrível, Mateus. Vamos voltar sem dúvidas!",lugar pessoa garcom duvida,"Lugar e pessoas muito gentis e educadas. Fomos atendidos por um garcom incrivel, Mateus. Vamos voltar sem duvidas!",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.4870445430278778,0.07418027520179749,0.4387751817703247,0.4870445430278778,Positive,"[('Mateus', 'I-PER')]"
11 de novembro de 2023,"Excelente atendimento, amei a experiência! 
Rodízio com bastante variedade e comida deliciosa, só tenho a agradecer",atendimento experiencia variedade,"Excelente atendimento, amei a experiencia! 
Rodizio com bastante variedade e comida deliciosa, so tenho a agradecer",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9904220104217529,0.005675188731402159,0.0039028029423207045,0.9904220104217529,Positive,[]
6 de novembro de 2023,Pegamos o rodízio. A comida estava muito gostosa e os atendentes são muito atenciosos com os clientes. Voltarei com certeza!,rodizio atendente certeza,Pegamos o rodizio. A comida estava muito gostosa e os atendentes sao muito atenciosos com os clientes. Voltarei com certeza!,0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9122679829597473,0.027836356312036514,0.0598955862224102,0.9122679829597473,Positive,[]
29 de outubro de 2023,"sim bem boaAlém das diretrizes gerais da comunidade, temos diretrizes específicas para a publicação de avaliações. As avaliações são publicadas no perfil de estabelecimentos e associadas a uma pontuação por círculos de 1 a 5. As pontuações afetam a posição no ranking de popularidade do...Mais",diretriz comunidade diretriz publicacao avaliacao avaliacao perfil pontuacao circulo pontuacao posicao popularidade,"sim bem boaAlem das diretrizes gerais da comunidade, temos diretrizes especificas para a publicacao de avaliacoes. As avaliacoes sao publicadas no perfil de estabelecimentos e associadas a uma pontuacao por circulos de 1 a 5. As pontuacoes afetam a posicao no ranking de popularidade do...Mais",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.8310915231704712,0.07710560411214828,0.09180286526679993,0.8310915231704712,Positive,[]
28 de outubro de 2023,"Amei a experiência, ótimo ambiente, divertido para ir com amigos e familia,  atendimento excelente do Breno",experiencia ambiente amigo atendimento,"Amei a experiencia, otimo ambiente, divertido para ir com amigos e familia,  atendimento excelente do Breno",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9748522043228149,0.015195053070783615,0.009952736087143421,0.9748522043228149,Positive,"[('Breno', 'I-PER')]"
28 de outubro de 2023,"Maravilha tudo de bom 
Amei! Tudo perfeito, deejay uma maravilha garçom também meus amigos amaram muito",deejay garcom,"Maravilha tudo de bom 
Amei! Tudo perfeito, deejay uma maravilha garcom tambem meus amigos amaram muito",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9668821692466736,0.01140125747770071,0.021716488525271416,0.9668821692466736,Positive,[]
26 de outubro de 2023,amei!!!!,,amei!!!!,0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.688386082649231,0.12032990157604218,0.19128406047821045,0.688386082649231,Positive,[]
23 de outubro de 2023,"Rodízio excelente, bastante opções e excelente atendimento. A opção de bebida também estava muito saborosa.",rodizio opcao atendimento opcao,"Rodizio excelente, bastante opcoes e excelente atendimento. A opcao de bebida tambem estava muito saborosa.",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.984527587890625,0.011134995147585869,0.004337443970143795,0.984527587890625,Positive,[]
20 de outubro de 2023,"Otimo! Adorei a experiência! Foi tudo maravilhoso e delicioso. Mas os preços são um pouco altos, mas tudo ótima qualidade",experiencia preco qualidade,"Otimo! Adorei a experiencia! Foi tudo maravilhoso e delicioso. Mas os precos sao um pouco altos, mas tudo otima qualidade",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9674761295318604,0.014256268739700317,0.01826760359108448,0.9674761295318604,Positive,[]
18 de setembro de 2023,Lugar muito legal para curtir a noite de aniversário com a família e com os amigos fazer fotos incríveis que servirá de recordação por um momento especial,lugar noite amigo foto recordacao momento,Lugar muito legal para curtir a noite de aniversario com a familia e com os amigos fazer fotos incriveis que servira de recordacao por um momento especial,0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.5713858604431152,0.15597787499427795,0.272636353969574,0.5713858604431152,Positive,[]
15 de setembro de 2023,"Bom lugar para socializar, som ambiente com muita alegria por parte das atrações. Super indico a todos!",lugar som alegria atracao,"Bom lugar para socializar, som ambiente com muita alegria por parte das atracoes. Super indico a todos!",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9695330262184143,0.014630013145506382,0.01583700440824032,0.9695330262184143,Positive,[]
5 de setembro de 2023,"Otimo local,bem temático, serviço otimo.
Super recomendo tanto para familia quanto para amigos. Bebidas maravilhosas.",local servico familia amigo bebida,"Otimo local,bem tematico, servico otimo.
Super recomendo tanto para familia quanto para amigos. Bebidas maravilhosas.",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9708809852600098,0.014374828897416592,0.014744249172508717,0.9708809852600098,Positive,[]
27 de julho de 2023,"Segunda vez que venho. E as duas vezes tive uma ótima experiência. Atendimento, comida, ambiente, agilidade, e o sistema do cardápio é MT demais... Fácil, prático, e agiliza o pedido. Parabéns!",vez vez experiencia agilidader sistema cardapio parabens,"Segunda vez que venho. E as duas vezes tive uma otima experiencia. Atendimento, comida, ambiente, agilidade, e o sistema do cardapio e MT demais... Facil, pratico, e agiliza o pedido. Parabens!",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.7617495059967041,0.07779790461063385,0.16045257449150085,0.7617495059967041,Positive,[]
19 de julho de 2023,"Muito divertido para celebrar aniversário em família. Ambiente descontraido, bem decorado e animado. Adoramos",aniversario,"Muito divertido para celebrar aniversario em familia. Ambiente descontraido, bem decorado e animado. Adoramos",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9536277055740356,0.019906943663954735,0.02646535262465477,0.9536277055740356,Positive,[]
18 de julho de 2023,Este local é demasiado animado para curtir a noite em família nessa cidade maravilhosa que é o Rio de Janeiro,local noite cidade Janeiro,Este local e demasiado animado para curtir a noite em familia nessa cidade maravilhosa que e o Rio de Janeiro,0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.881876528263092,0.0364343635737896,0.08168911188840866,0.881876528263092,Positive,"[('Rio', 'I-LOC'), ('de', 'I-LOC'), ('Janeiro', 'I-LOC')]"
15 de julho de 2023,"Ótimo ambiente para curtir com a família, comida gostosa, bom atendimento, uma opção diferente para sair da rotina!",ambiente familia atendimento opcao rotina,"Otimo ambiente para curtir com a familia, comida gostosa, bom atendimento, uma opcao diferente para sair da rotina!",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9344474673271179,0.0265100859105587,0.03904245048761368,0.9344474673271179,Positive,[]
30 de junho de 2023,Amei. Tudo maravilhoso. Do atendimento à decoração. Comida incrível. Com certeza voltarei mais vezes,atendimento decoracao certeza vez,Amei. Tudo maravilhoso. Do atendimento a decoracao. Comida incrivel. Com certeza voltarei mais vezes,0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.8951631784439087,0.03119940496981144,0.07363737374544144,0.8951631784439087,Positive,[]
30 de junho de 2023,"Maravilhoso! Nota 10! Atendimento top! Pessoas incríveis, ambiente totalmente temático e agradável,",nota atendimento pessoa ambiente,"Maravilhoso! Nota 10! Atendimento top! Pessoas incriveis, ambiente totalmente tematico e agradavel,",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9562803506851196,0.017085663974285126,0.026633871719241142,0.9562803506851196,Positive,[]
28 de junho de 2023,"Muito bom o atendimento!!!!  A bebida estava ótima, o ambiente super agradável. Recomendaria para mais pessoas.",atendimento ambiente pessoa,"Muito bom o atendimento!!!!  A bebida estava otima, o ambiente super agradavel. Recomendaria para mais pessoas.",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.6530577540397644,0.019137198105454445,0.3278050124645233,0.6530577540397644,Positive,[]
26 de junho de 2023,Melhor atendimento! Procura o Matheus! Rodízio maravilhoso. Happy hour justo. Adoramos tudo e sempre voltaremos. Obrigada!,atendimento rodizio happy,Melhor atendimento! Procura o Matheus! Rodizio maravilhoso. Happy hour justo. Adoramos tudo e sempre voltaremos. Obrigada!,0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.9664129018783569,0.014286518096923828,0.01930060051381588,0.9664129018783569,Positive,"[('Matheus', 'I-PER')]"
26 de junho de 2023,"Atendimento do Matheus foi excelente!
O rodízio tem um custo-benefício muito bom.
Vale muito a pena!",atendimento rodizio pena,"Atendimento do Matheus foi excelente!
O rodizio tem um custo-beneficio muito bom.
Vale muito a pena!",0,0_lugar_atendimento_aniversario_amigo,"['lugar', 'atendimento', 'aniversario', 'amigo', 'ambiente', 'funcionario', 'certeza', 'vez', 'familia', 'casa']","['lugar decoracao atendimento lugar amigo familia', 'atendimento garcons lugar amigo lugar aniversario', 'lugar atendimento aniversario amigo']",0.983252763748169,0.007032604422420263,0.00971454568207264,0.983252763748169,Positive,"[('Matheus', 'I-PER')]"
