Date,Review,Review Lemma,Topics,Names,Representation,Representative_Docs,Positive,Neutral,Negative
4 de dezembro de 2023,"Atendimento maravilhoso! Matheus foi muito atencioso e colocou nossa playlist.
Todos os atendentes super simpaticos",atendimento maravilhoso matheu muito atencioso colocar playlist atendente super simpatico,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.9895428419113159,0.006003672257065773,0.004453414119780064
2 de dezembro de 2023,Gostei muito dos pratos e do atendimento. Muitos solicitos. A comida estava saborosa. Com certeza volto mais vezes!,gostar muito prato atendimento solicito comida saboroso certeza voltar mais vez,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.6266699433326721,0.0770699605345726,0.2962600886821747
1 de dezembro de 2023,"Eu amei, é a melhor cozinha mexicana que eu já comi. E o espaço é muito animado, imersivo! A decoração da casa é linda e o atendimento excelente sempre.",ameir bom cozinha mexicano já comi espaço muito animar imersivo decoração casa linda atendimento excelente sempre,0,0_mexicano_guacamole_comida_restaurante,"['mexicano', 'guacamole', 'comida', 'restaurante', 'mais', 'bom', 'muito', 'ter', 'bem', 'ambiente']","['comer excelente ambiente bem característico música mariachis animar restaurante tocar música típico atendimento muito bom ainda mais inovação colocar tablet mesa fazer pedido bom lugar não só comer comida mexicano também mais', 'americano já comi comida mexicano restaurante mexicano restaurante guacamole ter bom ambiente bom comida já experimentar ficar atento ter pagar música música ótimo parte mais', 'ambiente bem legal mariachi bem divertido não gostar comida mexicano não ter opção']",0.9678549766540527,0.019303802400827408,0.012841255404055119
29 de novembro de 2023,"Ótimo ambiente e decoração, funcionários prestativos, comida boa. 
Música agradável. 
Divertidos mariachis.",bom ambiente decoração funcionário prestativo comida boa música agradável divertido mariachi,2,2_música_bom_ambiente_muito,"['música', 'bom', 'ambiente', 'muito', 'atendimento', 'musica', 'comida', 'animar', 'comer', 'excelente']","['atendimento excelente bom comida ambiente divertido música agradável valer pena conhecer', 'ambiente muito agradável música bom excelente atendimento comida boa chegar bem rápido muito atencioso', 'excelente atendimento comida bom ambiente muito agradável aconchegante música qualidade animar']",0.9403172731399536,0.025685595348477364,0.03399717062711716
27 de novembro de 2023,"Amomamos o atendimento do Matheus e do, tudo ótimo amamos o atendimento, sensacional! A comida muito saborosa",amoma atendimento matheu bom amar atendimento sensacional comida muito saboroso,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.9791011810302734,0.012173977680504322,0.00872475653886795
20 de novembro de 2023,Muito divertido e ótima comida. Deu para matar um pouco da saudade do México. Fomos muito bem atendidos pela Kaylane e o Victor. Certamente voltaremos.,muito divertido ótimo comida dar matar pouco saudade méxico muito bem atender kaylane victor certamente voltaremos,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.7720738649368286,0.04767024144530296,0.18025583028793335
20 de novembro de 2023,"Comida ótima, boa música, staff competente (principalmente Kaylene e Victor, muito simpáticos). Recomendo o burrito.",comer ótimo bom música staff competente principalmente kaylene muito simpático recomendar burrito,2,2_música_bom_ambiente_muito,"['música', 'bom', 'ambiente', 'muito', 'atendimento', 'musica', 'comida', 'animar', 'comer', 'excelente']","['atendimento excelente bom comida ambiente divertido música agradável valer pena conhecer', 'ambiente muito agradável música bom excelente atendimento comida boa chegar bem rápido muito atencioso', 'excelente atendimento comida bom ambiente muito agradável aconchegante música qualidade animar']",0.8586000800132751,0.03893016651272774,0.10246971249580383
20 de novembro de 2023,"Amei o atendimento da Kaylane e Victor! Os melhoress, comemos muito bem e foram muitos simpáticos. Obrigada pela ajuda",ameir atendimento kaylane Victor melhoress comer muito bem simpático obrigar ajuda,-1,-1_muito_bem_bom_mais,"['muito', 'bem', 'bom', 'mais', 'lugar', 'animação', 'atendimento', 'comida', 'não', 'ambiente']","['ambiente bem animar comida muito bom além ter show mariachi passar cantar mesa restaurante tornar atmosfera lugar bem divertido ser jantar tentar não chegar muito tarde conseguir mais', 'comer excelente atendimento muito bom lugar super animar muito gostoso voltar sempre barra 🥰', 'ambiente muito bem decorado atendimento excelente cardápio ter opção pimenta muito gostoso divertido show mariachi tequileiro preço justo']",0.9580621123313904,0.01777392253279686,0.024163974449038506
20 de novembro de 2023,"Comida ótima, bons drinks e um atendimento excepcional. Kaylane e Matheus nos atenderam com muito carinho e dedicação, super recomendado!!!",comer ótimo bom drink atendimento excepcional kaylane matheu atender carinho dedicação super recomendar,4,4_bebida_drink_bom_atendimento,"['bebida', 'drink', 'bom', 'atendimento', 'muito', 'cerveja', 'comer', 'gelar', 'ambiente', 'excelente']","['lugar comida muito gostoso drink excelente ambiente muito bom atendimento muito bom', 'muito recomendar bom lugar bebida excelente comida maravilhoso bom preço bom atendimento', 'ambiente maravilhoso agradável bom atendimento bebida bom comer delicioso recomendar']",0.9746072292327881,0.012549825012683868,0.012842976488173008
20 de novembro de 2023,"Excelente comida, ambiente e atendimento ! Parabéns Kaylane e Matheus!  Cozinha também está de parabéns!",excelente comida ambiente atendimento parabéns kaylane matheu cozinha também parabéns,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.9625284671783447,0.01952381618320942,0.0179476086050272
